Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Деревʼянко,Златослава,Юхимівна,Жінка,1979.03.15,Пекар,хутір Красноперекопськ,"сквер Локомотивний 1-й, буд. 076, Андрушівка, 86758",+380 62 706-14-20,huzenkospas@example.com
Пелех,Алла,Амвросіївна,Жінка,1979.04.10,Фармацевт,місто Снігурівка,"вулиця Аеродромна, буд. 209 кв. 182, Долинська, 73439",906-16-49,fpavlyk@example.org
Лаба,Мілена,Болеславівна,Жінка,1991.12.30,Секретар,хутір Полтава,"парк Пестеля, буд. 362 кв. 9, Лозова , 44812",+380 (04) 918-32-04,kvlokh@example.net
Вдовиченко,Спас,Григоріївич,Чоловік,1976.05.08,Ветеринар,хутір Торецьк,"сквер Восьмого березня 3-й, буд. 28, Шаргород, 97478",001 347 37 14,jsirko@example.com
Адамчук,Альберт,Горгоніївна,Чоловік,1989.07.01,Локсмайстер,селище Бібрка,"вулиця Дача Ковалевського, буд. 918, Привілля, 60335",076-45-83,sofiia66@example.com
Ільченко,Максим,Мірілівна,Чоловік,1962.09.27,Філолог,селище Чернівці,"площа Листяний, буд. 42 кв. 86, Полонне, 45283",+380 22 341 86 16,hkhorishko@example.com
Вернидуб,Євген,Федосіївна,Чоловік,2004.02.14,Актор,селище Жданівка,"вулиця Центральна, буд. 9, Обухів, 32954",+380 07 725-17-73,spasdemianenko@example.org
Демиденко,Леонід,Олексійович,Чоловік,1998.12.27,Лікар,місто Шпола,"набережна 19-й км Старокиївської дороги, буд. 159 кв. 3, Сєвєродонецьк, 29606",572-04-43,khudobiakivan@example.org
Деревʼянко,Максим,Федосіївна,Чоловік,1975.10.11,М'ясник,місто Ровеньки,"провулок Балтський 4-й, буд. 22, Малин, 07346",+380 (17) 539-63-94,aronetsalevtyn@example.net
Бевзенко,Віра,Вікторівич,Жінка,1997.01.08,Співак,місто Тальне,"узвіз Адміральський, буд. 6 кв. 07, Новий Калинів, 99582",+380 15 441 02 37,kiefymenko@example.net
Вергун,Оксенія,Савеліївна,Жінка,1970.07.19,Правник,місто Бахмут,"узвіз Малиновський, буд. 90, Коростень, 91720",003 907-82-58,larysa52@example.org
Дубина,Марина,Левівна,Жінка,1961.03.11,Паралегал,місто Прип'ять ,"провулок Педагогічний, буд. 348 кв. 6, Кагарлик, 78676",+380 99 895-63-57,leontiizaiets@example.com
Дубенко,Альбіна,Васильович,Жінка,1979.09.12,Фермер,селище Рогатин,"набережна Сортувальна 2-га, буд. 3, Вуглегірськ, 63875",+380 80 860-01-58,andriichukoksana@example.org
Гайдай,Симон,Ростиславівна,Чоловік,1992.06.29,Євнух,селище Сміла,"шосе Камишова, буд. 866 кв. 0, Дніпрорудне, 82435",+380 (36) 037-83-87,yskyba@example.org
Бандура,Олександр,Мелентіївна,Чоловік,1963.03.21,Промисловець,хутір Старокостянтинів,"парк Лиманчик 2-й Лінія 3-тя, буд. 7, Макіївка, 37954",018 619-02-18,vadymsalii@example.org
Андрейко,Демид,Даніїлівна,Чоловік,2002.07.19,Хімік,місто Полонне,"проспект Пішонівська, буд. 102 кв. 2, Яремче, 36290",444-11-51,danylo83@example.net
Захаренко,Олесь,Андронімівна,Чоловік,1954.06.04,Геофізик,місто Херсон,"парк Тетяни Тесс, буд. 65 кв. 97, Дніпрорудне, 27389",+380 38 015-10-41,elytvyn@example.com
Дацюк,Теодор,Андронімівна,Чоловік,1956.08.04,Складальник,хутір Іловайськ,"шосе Різовська, буд. 717 кв. 824, Горохів, 03835",061 663-65-61,irenasvyrydenko@example.com
Євтушок,Ігнат,Анікітівна,Чоловік,2007.04.16,М'ясник,хутір Вовчанськ,"набережна Пересипська 10-та, буд. 06, Скалат, 99313",037 303 09 60,lukian76@example.net
Колісниченко,Галина,Євстахіївна,Жінка,1961.09.14,Головний меркшейдер,хутір Світлодарськ,"провулок Зелена, буд. 082 кв. 07, Глобине, 36763",219 49 58,grudyk@example.net
Бабенко,Орися,Олексійович,Жінка,1983.06.03,Реставратор,місто Чортків,"набережна Пересипський узвіз, буд. 0 кв. 41, Коломия, 88250",576-79-71,ystets@example.net
Затула,Віра,Симонівна,Жінка,1989.03.12,Конструктор,селище Лозова ,"проспект 8-ма Лінія 6-й ст. Люстдорфської дороги, буд. 468, Дубно, 60118",017 542-16-63,dkozachenko@example.net
Гриценко,Вікторія,Мартінівна,Жінка,1992.10.28,Географ,хутір Березне,"шосе Дунаєва, буд. 7, Брянка, 06386",+380 31 698-32-59,sviatoslavkabaliuk@example.com
Петренко,Федір,Дорофіївна,Чоловік,2003.11.04,Мірошник,хутір Шепетівка,"набережна Перша, буд. 32 кв. 8, Чернігів, 16951",269 45 23,kozachenkotaras@example.org
Товстоліс,Азар,Артемівна,Чоловік,2003.03.05,Біолог,село Амвросіївка,"сквер Миколи Гефта, буд. 036, Хрустальний, 25148",688-22-67,vieroshenko@example.com
Верменич,Михайло,Сергійович,Чоловік,1954.08.12,Швачка,місто Горохів,"вулиця Раїси Сергієнко, буд. 3, Мар'їнка, 65869",+380 45 417-42-45,tkhmara@example.com
Зінкевич,Кирило,Афанасіївна,Чоловік,1989.11.24,Композитор,місто Світловодськ,"проспект Івана Франка, буд. 4 кв. 42, Хмільник, 24696",+380 (61) 884-11-15,boleslavshablii@example.org
Годунок,Артем,Іларіонівна,Чоловік,1959.08.31,Кур'єр,селище Кам'янка (Черкаська область),"провулок Кощового отамана, буд. 5 кв. 1, Вишгород, 40503",+380 18 856-93-22,halyna34@example.org
Остапчук,Іван,Олесьович,Чоловік,2005.08.10,Євнух,хутір Хирів,"площа Державіна, буд. 16, Ізяслав, 82326",006 121-07-96,zabaraustym@example.net
Мазур,Володимира,Вітольдівна,Жінка,1969.07.03,Фізик,місто Вінниця,"набережна Марата 1-й, буд. 746, Докучаєвськ, 34804",033 994-56-20,viktordzhus@example.net
Кащенко,Пріска,Силуанівна,Жінка,1974.02.10,Епідеміолог,хутір Бориспіль,"вулиця Виноградна 3-тя, буд. 085 кв. 31, Антрацит , 62607",030 314-46-10,frants46@example.org
Туркало,Пріска,Філімонівна,Жінка,1953.06.28,Геолог,село Кам'янець-Подільський,"проспект Вірського, буд. 46 кв. 29, Дружба , 64722",+380 82 003-21-84,iatsenkoandrii@example.net
